PMID	Title	Date	Journal	Species	Disease	Tissue_type	Evidence	Weight	Gene_name	Cell_name	context_background	Evidence_clean
26940531	Single cell transcriptome analysis of mouse carotid body glomus cells.	2017	The Journal of physiology	mouse	GLOMUS	non carotid|tube	r A heterologous cell-based screening identified acetate (which is known to affect CB glomus cell activity) as an agonist for the most highly abundant G protein-coupled receptor (Olfr78) in CB glomus cells.	2.0	Olfr78	Carotid body glomus cell	r We demonstrate that the single cell RNA-Seq method is a powerful tool for identifying highly expressed genes in CB glomus cells.. r Our single cell RNA-Seq results characterized novel CB glomus cell genes, including members of the G protein-coupled receptor signalling pathway, ion channels and atypical mitochondrial electron transport chain subunits.	r heterologous cell-based screening identify acetate as agonist for highly abundant g protein-coupled receptor in carotid body glomus cell
26940531	Single cell transcriptome analysis of mouse carotid body glomus cells.	2017	The Journal of physiology	mouse	GLOMUS	non carotid|tube	In addition to oxygen, CB glomus cell activity is affected by CO 2 , pH, glucose, insulin and acetate (Sato, 1994;Pardal & Lopez-Barneo, 2002;Ribeiro et al. 2013;Prabhakhar & Joyner, 2014), although the molecules mediating these effects are not well characterized.	2.0	CO	Carotid body glomus cell	A long-held theory suggests that the CB glomus cells, also known as Type I cells, sense hypoxia through hampered mitochondria metabolism ( Mills & Jobsis, 1970, 1972;Duchen & Biscoe, 1992a,b;Streller et al. 2002;Buckler & Turner, 2013 ) , although how their mitochondria are specifically influenced by moderate hypoxia is not understood ( Chandel & Schumacker, 2000;Kemp & Telezhkin, 2014 ) .. To complicate things further, we do not fully understand how the hypoxia signal is transduced to downstream ion channels important for cellular depolarization.	in addition oxygen carotid body glomus cell activity affect by ph glucose insulin acetate molecule mediate effect characterize
26940531	Single cell transcriptome analysis of mouse carotid body glomus cells.	2017	The Journal of physiology	mouse	GLOMUS	non carotid|tube	An olfactory receptor, Olfr78, was the most abundant GPCR in CB glomus cells and responded to acetate in heterologous cells, supporting recent findings suggesting that Olfr78 is enriched in CB and plays an important role in CB function (Chang et al. 2015).	2.0	Olfr78	heterologous cell & Carotid body glomus cell	Using this approach, we not only confirmed the presence of many of the known CB genes, but also uncovered a large set of genes abundantly expressed in CB glomus cells.. Our data suggest that CB glomus cells have a unique transcriptome profile, prominently expressing G protein-coupled receptor ( GPCR ) signalling pathway components, ion channels and HIF target genes.	olfactory receptor abundant g protein-coupled receptor in carotid body glomus cell respond acetate in heterologous cell recent finding suggest enriched in carotid body play important role in carotid body function 
26940531	Single cell transcriptome analysis of mouse carotid body glomus cells.	2017	The Journal of physiology	mouse	GLOMUS	non carotid|tube	The present study also uncovered two atypical mitochondrial electron transport chain (ETC) subunits (Ndufa4l2 and Cox4i2) that were highly enriched in CB glomus cells compared to multiple mouse tissues, highlighting their potential roles in mitochondria-mediated oxygen sensing.	2.0	Cox4i2 & Ndufa4l2	Carotid body glomus cell	Our data suggest that CB glomus cells have a unique transcriptome profile, prominently expressing G protein-coupled receptor ( GPCR ) signalling pathway components, ion channels and HIF target genes.. An olfactory receptor, Olfr78, was the most abundant GPCR in CB glomus cells and responded to acetate in heterologous cells, supporting recent findings suggesting that Olfr78 is enriched in CB and plays an important role in CB function ( Chang et al. 2015 ) .	present study uncover atypical mitochondrial electron transport chain subunit highly enrich in carotid body glomus cell compare multiple mouse tissue highlight potential role in mitochondria-mediated oxygen sensing
26940531	Single cell transcriptome analysis of mouse carotid body glomus cells.	2017	The Journal of physiology	mouse	GLOMUS	non carotid|tube	Notably, all the known genes encoding the canonical signal transduction components in OSNs were highly expressed, including Gnal (guanine nucleotide T. Zhou and others J Physiol 000.0 binding protein, α stimulating, olfactory type), Cnga2 (cyclic nucleotide gated channel α 2) and Adcy3 (adenylyl cyclase type 3).	2.0	Gnal	channel α 2	To examine whether our single OSN expression profiles agree with that of conventional RNA-Seq, we compared the average relative gene expression of two single OSNs with published RNA-Seq data from fluorescence-activated cell sorted mature OSNs ( Magklara et al. 2011 ) .. Indeed, we observed a positive correlation ( Pearson correlation of 0.68 ) ( Fig. 2B ) .	notably known gene encode canonical signal transduction component in osn highly express include cyclic nucleotide gated channel α adenylyl cyclase type 
26940531	Single cell transcriptome analysis of mouse carotid body glomus cells.	2017	The Journal of physiology	mouse	GLOMUS	non carotid|tube	Notably, all the known genes encoding the canonical signal transduction components in OSNs were highly expressed, including Gnal (guanine nucleotide T. Zhou and others J Physiol 000.0 binding protein, α stimulating, olfactory type), Cnga2 (cyclic nucleotide gated channel α 2) and Adcy3 (adenylyl cyclase type 3).	2.0	Gnal	channel α 2	To examine whether our single OSN expression profiles agree with that of conventional RNA-Seq, we compared the average relative gene expression of two single OSNs with published RNA-Seq data from fluorescence-activated cell sorted mature OSNs ( Magklara et al. 2011 ) .. Indeed, we observed a positive correlation ( Pearson correlation of 0.68 ) ( Fig. 2B ) .	notably known gene encode canonical signal transduction component in osn highly express include cyclic nucleotide gated channel α adenylyl cyclase type 
26940531	Single cell transcriptome analysis of mouse carotid body glomus cells.	2017	The Journal of physiology	mouse	GLOMUS	non carotid|tube	Each single cell-derived cDNA sample was used as a template for PCR diagnosis with primers complementary to three glomus cell markers (Th, tyrosine hydroxylase; Uchl1, ubiquitin carboxyl-terminal esterase L1, also known as PGP9.5; Kcnk3, potassium channel subfamily K member 3, also known as TASK1), as well as a housekeeping gene Gapdh.	2.0	Th & Kcnk3 & Gapdh	glomus cell	We dissociated tissues containing the CB, picked single cells and amplified cDNAs derived from each single cell.. To select cDNA samples derived from CB glomus cells, we conducted marker genes analysis.	single cell-derived cdna sample use as template for pcr diagnosis primer complementary glomus cell marker as as housekeeping gene
26940531	Single cell transcriptome analysis of mouse carotid body glomus cells.	2017	The Journal of physiology	mouse	GLOMUS	non carotid|tube	Similar to the staining pattern using the glomus cell marker Th (Fig. 4D), 40 probes marked the clustered glomus cells typical of CB glomeruli (Fig. 4A-E), which mostly covered genes encoding the GPCR signalling pathway (Fig. 4A), ion channels and associated proteins (Fig. 4B), the HIF pathway (Fig. 4C), and neuronal markers (Fig. 4D).	2.0	Th	glomus cell & neuronal & Carotid body glomeruli	We did not limit our selection to the most highly ranked genes but included 17 genes that ranked among the top 30, 13 genes that ranked between 31st to 300th, and 22 genes that ranked T. Zhou and others J Physiol 000.0 between 300th to 7000th, as well as Olfr558, a gene not detectable in our sequencing results.. As expected, Olfr558 did not show obvious signals ( Fig. 4A ) , and the quantification of relative staining intensity showed that it had the least hybridization signal among all 53 probes tested.	similar staining pattern use glomus cell marker probe mark cluster glomus cell typical of carotid body glomerulus cover gene encode g protein-coupled receptor signalling pathway ion channel associate protein hypoxia-inducible factor pathway neuronal marker 
26940531	Single cell transcriptome analysis of mouse carotid body glomus cells.	2017	The Journal of physiology	mouse	GLOMUS	non carotid|tube	In particular, the most abundant transcript in glomus cells was stimulatory G protein α (Gnas, also known as G αs ), representing 1.82% of the total transcripts.	2.0	Gnas	glomus cell	A prominent feature of the CB transcriptome profile is the enrichment of various guanine nucleotide-binding proteins ( G proteins ) that constitute the heterotrimeric G protein complex, an important component of the GPCR signalling pathway ( Table 3 ) .. The α subunits of several G protein families were detected at high levels.	in particular abundant transcript in glomus cell stimulatory g protein α represent of total transcript
26940531	Single cell transcriptome analysis of mouse carotid body glomus cells.	2017	The Journal of physiology	mouse	GLOMUS	non carotid|tube	Notably, the olfactory receptor Olfr78 that couples to G αs/olf was found to be the most abundant GPCR in the CB glomus cell transcriptome, consistent with the recent finding that Olfr78 is highly enriched in mouse CB (Chang et al. 2015).	2.0	Olfr78	mouse Carotid body & body glomus cell	In line with this, β and γ subunits of the heterotrimeric G protein complexes were also abundantly expressed, such as Gnb1, Gnb2, Gng2, Gng3, Gng10 and Gng12.. Consistent with the abundant expression of G proteins, several GPCRs were detected at high levels ( Table 4 ) .	notably olfactory receptor couple g αs/olf find abundant g protein-coupled receptor in carotid body glomus cell transcriptome consistent recent finding highly enriched in mouse carotid body 
